21927	0	p0	-3.5242372545008509	3.5019372314691806	5	81.192222595214844	5	452.85708618164062	
21927	0	p1	0.63160298441894036	0.011011961697003162	5	81.192222595214844	5	452.85708618164062	
21927	0	p2	3.4866678497977442e-05	7.0974465246141656e-06	5	81.192222595214844	5	452.85708618164062	
21927	1	p0	-17.328674714614554	4.9545523446263857	5	215.88827514648438	19.764060974121094	2286.521240234375	
21927	1	p1	1.7104024801668278	0.024463303905267873	5	215.88827514648438	19.764060974121094	2286.521240234375	
21927	1	p2	-2.3942418418817273e-05	9.4052042714591995e-06	5	215.88827514648438	19.764060974121094	2286.521240234375	
21927	2	p0	-16.527805748642759	5.2997237215319331	5	459.42657470703125	32.013778686523438	2286.521240234375	
21927	2	p1	1.7521577039385052	0.025272098895227215	5	459.42657470703125	32.013778686523438	2286.521240234375	
21927	2	p2	4.398746534223943e-05	1.2012436430030379e-05	5	459.42657470703125	32.013778686523438	2286.521240234375	
21927	3	p0	24.054485850895958	4.0237955965240921	5	173.03775024414062	19.764060974121094	1196.1158447265625	
21927	3	p1	1.3917770004803782	0.020587539309293568	5	173.03775024414062	19.764060974121094	1196.1158447265625	
21927	3	p2	0.00011767031590833342	1.2804575619527356e-05	5	173.03775024414062	19.764060974121094	1196.1158447265625	
21927	4	p0	0	1.4142135623730951	5	101.50840759277344	5	452.85708618164062	
21927	4	p1	0.5	1.4142135623730951	5	101.50840759277344	5	452.85708618164062	
21927	4	p2	-9.9999999999999995e-07	1.4142135623730951	5	101.50840759277344	5	452.85708618164062	
21927	5	p0	0	1.4142135623730951	5	101.50840759277344	5	391.34353637695312	
21927	5	p1	0.5	1.4142135623730951	5	101.50840759277344	5	391.34353637695312	
21927	5	p2	-9.9999999999999995e-07	1.4142135623730951	5	101.50840759277344	5	391.34353637695312	
21927	6	p0	0	1.4142135623730951	5	116.69175720214844	5	520.887451171875	
21927	6	p1	0.5	1.4142135623730951	5	116.69175720214844	5	520.887451171875	
21927	6	p2	-9.9999999999999995e-07	1.4142135623730951	5	116.69175720214844	5	520.887451171875	
21927	7	p0	0	1.4142135623730951	5	116.69175720214844	5	586.997802734375	
21927	7	p1	0.5	1.4142135623730951	5	116.69175720214844	5	586.997802734375	
21927	7	p2	-9.9999999999999995e-07	1.4142135623730951	5	116.69175720214844	5	586.997802734375	
21927	8	PDp1	4	0	5	452.85708618164062	2.5676487260960608e-37	5	
21927	8	PDp2	-0.0035631233743375068	0.00016043361608597539	5	452.85708618164062	2.5676487260960608e-37	5	
21927	8	PDratio	5.3208824768342282	0.051437030233875358	5	452.85708618164062	2.5676487260960608e-37	5	
21927	9	PDp3	1.1368559813540458e-06	1.8942278479094909e-07	19.764060974121094	2286.521240234375	0	5	
21927	10	Chisq/nvars	498.18778178798891	27	323	3
