20158 2513.18 3.16945  2442.14 4.41932  2329.3 6.24119  2085.63 4.02208  2415.32 4.08079  2504.86 4.2249  2328.51 3.96948  741.94 7.61707 
20159 2514.36222222 1.26517915563  2448.11222222 1.93139022161  2334.86444444 2.75017685814  2171.05111111 1.95224457607  2413.79111111 1.7529410693  2503.91777778 1.93348517281  2329.47666667 1.38050751104  714.552777778 6.82856939303 
20160 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20161 2513.43 2.91738  2450.21 4.15242  2323.15 5.24395  2159.66 4.17017  2417.77 5.16848  2514.46 4.44348  2328.98 3.51928  747.129 9.59572 
20162 2516.35 1.25661283339  2445.99777778 2.03266711628  2332.53333333 2.42557105042  2142.91555556 1.78448033917  2416.3 1.82108893873  2514.69888889 1.97166432112  2329.49111111 1.52997889478  730.506111111 3.528674397 
20163 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20164 2520.28333333 1.30934969717  2448.24777778 1.83970349705  2324.74888889 2.95758526041  2127.17444444 1.99873437491  2411.44444444 1.85848653523  2509.85333333 1.89808972252  2331.55666667 1.3960669917  797.990888889 138.634922895 
20165 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20166 2519.39 3.01972  2450.64 3.99715  2324.21 5.41721  2130.43 4.14367  2416.43 3.98343  2504.69 4.00824  2322.62 3.45683  733.012 8.79522 
20167 2520.30777778 1.29049032423  2446.78222222 2.0006220837  2331.63444444 2.38987883163  2128.53777778 1.78664839572  2412.43666667 1.82352102323  2504.39777778 2.05376635273  2328.06777778 1.40555983571  731.075 3.9512499804 
20168 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20169 2520.68 2.89357  2451.12 4.22993  2333.02 4.52688  2131.11 4.09057  2418.5 3.89421  2498.71 4.11046  2333.9 3.08311  731.507 9.77405 
20216 2398.28 8.83929  2365.21 14.1731  2148.08 18.3921  2246.39 11.0139  2353.73 8.88502  2412.25 10.1026  2301.14 7.42094  2252.24 624.573 
20217 2402.48 5.39012  2376.89 7.583  2139.74 10.0865  2249.38 10.1499  2379.61 11.286  2402.14 7.52691  2286.95 5.70373  659.626 49.8129 
20218 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20219 2392.53 7.80662  2368.09 8.45076  2142.07 12.9843  2227.17 10.9699  2378.78 9.00474  2413.62 26.056  2282.2 10.5485  1641.73 204.523 
20220 2396.28 5.57863  2362.95 7.00857  2129.54 18.4172  2217.27 8.11714  2377.15 8.97645  2384.97 7.35112  2263.28 7.30033  704.889 18.1708 
20221 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20222 2377.06 5.92892  2354.82 8.60665  2144.34 8.87794  2219.05 10.0038  2366.33 9.65658  2391.78 7.65214  2276.89 5.88216  -834.563 3319.87 
20223 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20224 2376.63 8.31182  2370.69 10.0393  2136.18 9.57883  2220.65 13.4063  2340.24 8.60527  2393.2 15.1458  2269.23 7.57635  1887.99 179.811 
20225 2394.62 6.4732  2357.68 6.26906  2135.44 8.45734  2226.82 9.97358  2358.82 7.6619  2397.76 10.7495  2273.05 6.51995  714.978 18.1179 
20226 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20227 2375.33 6.81654  2352.39 8.13083  2166.6 9.32746  2209.59 12.0216  2365.54 8.82369  2398.1 12.7871  2271.35 8.4046  645.593 69.6943 
20228 2374.42 7.96827  2359.74 11.9982  2159.44 13.5775  2225.12 13.6239  2375.13 11.1042  2401.69 10.7474  2278.85 9.38203  732.648 38.4388 
20229 2387.9 5.36808  2363.31 6.82973  2132.42 9.92966  2238.63 10.2657  2349.03 8.14095  2391.43 6.71081  2269.33 5.35829  751.141 20.8756 
20230 0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0  0.0 0.0 
20231 2408.49 7.26995  2358.08 8.99556  2130.62 9.76643  2226.85 10.659  2372.5 11.5884  2396.14 12.4672  2261.52 7.96978  724.304 46.1612 
