z		B_z(tesla)
-3.0		0.578
-2.2		0.578
-1.50		0.9635271
-1.29		0.9650239
-1.07		0.9659551
-0.86		0.9676014
-0.64		0.965827
-0.43		0.9635617
-0.21		0.9630914
0.00		0.9611435
0.21		0.9646159
0.43		0.9646747
0.64		0.9647441
0.86		0.9647467
1.07		0.9645268
1.29		0.964186
1.50		0.9635516
2.2		0.578
3.0		0.578
