20122	454.92	457.327	772.831	403.086	652.921	530.06	625.423	966.255
20125	472.03	449.719	779.278	412.08	627.865	481.754	598.288	967.752
20127	469.428	459.414	775.754	409.13	651.987	524	605.437	904.688
20130	460.157	472.67	801.2	406.095	630.722	510.17	638.35	977.349
20134	457.108	434.922	746.426	399.237	627.779	500.146	613.654	957.212
20137	467.129	466.764	776.635	402.614	652.273	510.265	619.534	952.975
20139	465.685	433.152	750.228	399.973	663.266	512.915	613.978	907.322
20142	476.61	461.276	820.12	401.651	639.345	520.938	605.684	1022.78
20147	504.165	462.754	805.785	427.52	634.817	508.239	612.869	1014.41
20150	463.788	453.712	790.709	424.376	630.248	531.561	632.426	974.857
20152	456.333	443.412	781.898	392.923	641.832	519.791	608.467	897.587
20155	476.171	465.402	771.75	398.624	635.488	510.145	640.584	1015.81
20159	467.499	461.252	746.938	404.815	644.727	520.197	633.59	936.222
20162	462.112	447.868	917.101	405.986	647.51	530.88	624.532	1044.61
20164	475.706	437.563	796.611	409.49	669.649	494.91	638.025	950.772
20167	466.028	442.416	819.63	411.985	634.224	530.398	633.107	934.321
20217	377.888	391.443	690.042	412.962	678.92	597.665	522.322	1141.29
20220	466.356	420.303	656.652	411.571	622.111	477.079	568.279	868.954
20222	-159.728	400.324	708.846	394.974	538.045	503.799	596.258	783.611
20225	434.257	394.359	694.022	414.787	548.325	430.58	587.247	814.781
20229	446.008	414.067	932.587	407.832	643.56	458.572	585.753	713.036
20232	420.858	411.292	735.178	433.099	563.169	516.598	632.583	825.438
20234	453.13	412.705	742.597	477.747	627.768	480.414	649.965	1164.97
20237	448.172	440.069	668.796	405.205	618.261	440.144	681.858	1350.85
20241	440.939	428.334	714.276	435.14	636.016	499.445	606.374	879.694
20244	441.026	452.941	721.073	431.253	622.739	513.259	597.471	927.173
20246	442.266	443.756	739.91	423.871	640.947	496.683	617.988	863.665
20249	441.293	441.176	731.545	430.674	630.035	513.233	610.116	897.484
20254	462.529	470.791	759.787	442.781	621.973	502.329	578.053	913.754
20257	465.604	448.625	737.102	441.555	647.832	502.416	588.005	939.072
20259	459.934	449.991	739.903	431.516	622.019	502.138	583.344	952.961
20262	452.576	444.268	737.366	437.047	625.19	497.898	599.235	872.176
